Question,Answer
St. Patrick's Day,Sounds nice! Where is it?
Company Christmas Party,Cool! Could you tell me where is it?
40 years of Mama Cash,Exciting! Could you tell me where will it be happening?
40 years of Mama Cash,Cool! Could you tell me where is it?
Orange ball during King's Day,Sounds nice! Where is it?
60th birthday,Cool! Could you tell me where is it?
St Patrick's day in cafe,Cool! Could you tell me where is it?
Easter event,Sounds nice! Where is it?
opening Sostrene Grene store Hoofddorp,Sounds nice! Where is it?
Birthdays,That sounds great! Can you share the location of the event?
Fair,Sounds nice! Where is it?
Birthday,Exciting! Could you tell me where will it be happening?
Wedding,Exciting! Could you tell me where will it be happening?
Benefit charity,Cool! Could you tell me where is it?
Senior afternoon during annual neighborhood party weekend,That sounds great! Can you share the location of the event?
Family festival,Cool! Could you tell me where is it?
Lo Rock 2024,That sounds great! Can you share the location of the event?
Neighborhood party,Sounds nice! Where is it?
Opening ceremony showroom,Sounds nice! Where is it?
25th Wedding Anniversary,Exciting! Could you tell me where will it be happening?
Wedding,Exciting! Could you tell me where will it be happening?
Wedding,That sounds great! Can you share the location of the event?
Party,That sounds great! Can you share the location of the event?
Wedding,Sounds nice! Where is it?
Wedding,Cool! Could you tell me where is it?
Birthday,Exciting! Could you tell me where will it be happening?
ledenfeest NEOS,Exciting! Could you tell me where will it be happening?
Birthday party,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Wedding,Exciting! Could you tell me where will it be happening?
Boda,That sounds great! Can you share the location of the event?
birthday,Sounds nice! Where is it?
Concert,Exciting! Could you tell me where will it be happening?
Sweet Sixteen Party,Cool! Could you tell me where is it?
Fair,That sounds great! Can you share the location of the event?
Wedding ceremony and cocktail hour,Exciting! Could you tell me where will it be happening?
closing evening,That sounds great! Can you share the location of the event?
Summer party Care Farm,Cool! Could you tell me where is it?
Congress,Sounds nice! Where is it?
company party - family day,Sounds nice! Where is it?
company party - family day,Sounds nice! Where is it?
after wedding (we just got married),Sounds nice! Where is it?
Festivities of Santigo Apostol (Santiaguino),Exciting! Could you tell me where will it be happening?
40th birthday,Exciting! Could you tell me where will it be happening?
70th Birthday,Exciting! Could you tell me where will it be happening?
okra,Exciting! Could you tell me where will it be happening?
Summer in the fortress,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Electronic music,That sounds great! Can you share the location of the event?
A drink,Exciting! Could you tell me where will it be happening?
feria,Cool! Could you tell me where is it?
70th Birthday,That sounds great! Can you share the location of the event?
BIRTHDAY,Exciting! Could you tell me where will it be happening?
Fair,Exciting! Could you tell me where will it be happening?
Birthday 40 years,Sounds nice! Where is it?
Canteen party,Cool! Could you tell me where is it?
Birthday,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
BUSINESS EVENT,Sounds nice! Where is it?
Town parties,That sounds great! Can you share the location of the event?
Birthday,Sounds nice! Where is it?
Parties,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
Informal drinks,Cool! Could you tell me where is it?
Sweet Sixteen Party,That sounds great! Can you share the location of the event?
Compliant,Cool! Could you tell me where is it?
25 year old building where we live,Cool! Could you tell me where is it?
50th anniversary,That sounds great! Can you share the location of the event?
BBQ,Sounds nice! Where is it?
Anniversary,Cool! Could you tell me where is it?
Oktoberfest,That sounds great! Can you share the location of the event?
Corporate party Apres Ski theme,Sounds nice! Where is it?
Jazz festival,Cool! Could you tell me where is it?
Neighborhood party,Exciting! Could you tell me where will it be happening?
Dancing Diner,Cool! Could you tell me where is it?
summer event,That sounds great! Can you share the location of the event?
Boda,Cool! Could you tell me where is it?
Care/nursing home residents,Exciting! Could you tell me where will it be happening?
Party,That sounds great! Can you share the location of the event?
50th birthday,Exciting! Could you tell me where will it be happening?
Benefit,Cool! Could you tell me where is it?
Anniversary party 30 years of company existence,Exciting! Could you tell me where will it be happening?
50th birthday,Cool! Could you tell me where is it?
Friends weekend,Cool! Could you tell me where is it?
Rollercoaster Run to Fight Cancer in Walibi Holland,That sounds great! Can you share the location of the event?
birthday,Sounds nice! Where is it?
Herring festivals Breskens,Sounds nice! Where is it?
Opening Scheuvelhoes drinks & bites,That sounds great! Can you share the location of the event?
Hostel activity,Exciting! Could you tell me where will it be happening?
Sara birthday (50 years),Cool! Could you tell me where is it?
festival,Exciting! Could you tell me where will it be happening?
Culture night,Exciting! Could you tell me where will it be happening?
"Estate fair ""The White Castle""",Exciting! Could you tell me where will it be happening?
Summer bar,Cool! Could you tell me where is it?
50th birthday,That sounds great! Can you share the location of the event?
Birthday,That sounds great! Can you share the location of the event?
12.5 year wedding anniversary,Sounds nice! Where is it?
Republic Day celebration,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Boda,Exciting! Could you tell me where will it be happening?
event,Sounds nice! Where is it?
30th anniversary - BACK TO THE 90's theme,Sounds nice! Where is it?
Birthday,Cool! Could you tell me where is it?
Afternoon party bar Sierra de Madrid,Exciting! Could you tell me where will it be happening?
Street party,Sounds nice! Where is it?
romantic serenade,Exciting! Could you tell me where will it be happening?
wedding,That sounds great! Can you share the location of the event?
Summer bar,Exciting! Could you tell me where will it be happening?
50 years birthday party,Cool! Could you tell me where is it?
Extraordinary Texel,Cool! Could you tell me where is it?
Midsummer party,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Festivities,Exciting! Could you tell me where will it be happening?
St. Patrick's Day,Cool! Could you tell me where is it?
BIRTHDAY,Sounds nice! Where is it?
Wedding,Sounds nice! Where is it?
Royal day,Exciting! Could you tell me where will it be happening?
friendly girls,Exciting! Could you tell me where will it be happening?
Wedding,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Communion,Sounds nice! Where is it?
Birthday,That sounds great! Can you share the location of the event?
Chamber concert for lonely elderly people,That sounds great! Can you share the location of the event?
VIP dinner football match,Cool! Could you tell me where is it?
neighborhood party,Cool! Could you tell me where is it?
Birthday 50,Cool! Could you tell me where is it?
birthday,Sounds nice! Where is it?
Men's Day,Exciting! Could you tell me where will it be happening?
Matiage,Exciting! Could you tell me where will it be happening?
